,date,open,High,low,close,signal
16280,2018-06-08 17:15:00,,,,,Short
16281,2018-06-08 21:15:00,,,,,Short
16282,2018-06-09 01:15:00,,,,,Short
16283,2018-06-09 05:15:00,,,,,Short
16284,2018-06-09 09:15:00,,,,,Short
16285,2018-06-09 13:15:00,,,,,Short
16286,2018-06-09 17:15:00,,,,,Short
16287,2018-06-09 21:15:00,,,,,Short
16288,2018-06-10 01:15:00,,,,,Short
16289,2018-06-10 05:15:00,,,,,Short
16290,2018-06-10 09:15:00,,,,,Short
16291,2018-06-10 13:15:00,,,,,Short
16292,2018-06-10 17:15:00,,,,,Short
16293,2018-06-10 21:15:00,,,,,Short
16294,2018-06-11 01:15:00,,,,,Short
16295,2018-06-11 05:15:00,,,,,Short
16296,2018-06-11 09:15:00,26473.2,26639.25,26446.35,26629.7,Short
16297,2018-06-11 13:15:00,26630.1,26652.9,26422.6,26457.35,Short
16298,2018-06-11 17:15:00,,,,,Short
16299,2018-06-11 21:15:00,,,,,Short
16300,2018-06-12 01:15:00,,,,,Short
16301,2018-06-12 05:15:00,,,,,Short
16302,2018-06-12 09:15:00,26566.6,26627.45,26450.0,26531.0,Short
16303,2018-06-12 13:15:00,26530.5,26655.75,26495.9,26635.25,Short
16304,2018-06-12 17:15:00,,,,,Short
16305,2018-06-12 21:15:00,,,,,Short
16306,2018-06-13 01:15:00,,,,,Short
16307,2018-06-13 05:15:00,,,,,Short
16308,2018-06-13 09:15:00,26721.95,26764.35,26617.8,26670.4,Short
16309,2018-06-13 13:15:00,26669.8,26744.95,26599.05,26643.0,Short
16310,2018-06-13 17:15:00,,,,,Short
16311,2018-06-13 21:15:00,,,,,Short
16312,2018-06-14 01:15:00,,,,,Short
16313,2018-06-14 05:15:00,,,,,Short
16314,2018-06-14 09:15:00,26612.3,26620.3,26503.3,26570.6,Short
16315,2018-06-14 13:15:00,26570.95,26622.55,26531.45,26540.55,Short
16316,2018-06-14 17:15:00,,,,,Short
16317,2018-06-14 21:15:00,,,,,Short
16318,2018-06-15 01:15:00,,,,,Short
16319,2018-06-15 05:15:00,,,,,Short
16320,2018-06-15 09:15:00,26513.7,26585.2,26354.6,26379.65,Short
16321,2018-06-15 13:15:00,26377.45,26437.0,26345.3,26406.9,Short
16322,2018-06-15 17:15:00,,,,,Short
16323,2018-06-15 21:15:00,,,,,Short
16324,2018-06-16 01:15:00,,,,,Short
16325,2018-06-16 05:15:00,,,,,Short
16326,2018-06-16 09:15:00,,,,,Short
16327,2018-06-16 13:15:00,,,,,Short
16328,2018-06-16 17:15:00,,,,,Short
16329,2018-06-16 21:15:00,,,,,Short
16330,2018-06-17 01:15:00,,,,,Short
16331,2018-06-17 05:15:00,,,,,Short
16332,2018-06-17 09:15:00,,,,,Short
16333,2018-06-17 13:15:00,,,,,Short
16334,2018-06-17 17:15:00,,,,,Short
16335,2018-06-17 21:15:00,,,,,Short
16336,2018-06-18 01:15:00,,,,,Short
16337,2018-06-18 05:15:00,,,,,Short
16338,2018-06-18 09:15:00,26444.3,26472.45,26322.65,26395.3,Short
16339,2018-06-18 13:15:00,26398.4,26472.15,26362.7,26416.65,Short
16340,2018-06-18 17:15:00,,,,,Short
16341,2018-06-18 21:15:00,,,,,Short
16342,2018-06-19 01:15:00,,,,,Short
16343,2018-06-19 05:15:00,,,,,Short
16344,2018-06-19 09:15:00,26448.1,26448.1,26282.55,26316.7,Short
16345,2018-06-19 13:15:00,26316.6,26350.75,26225.7,26265.5,Short
16346,2018-06-19 17:15:00,,,,,Short
16347,2018-06-19 21:15:00,,,,,Short
16348,2018-06-20 01:15:00,,,,,Short
16349,2018-06-20 05:15:00,,,,,Short
16350,2018-06-20 09:15:00,26320.45,26503.3,26320.45,26482.0,Short
16351,2018-06-20 13:15:00,26479.05,26573.95,26440.1,26565.9,Short
16352,2018-06-20 17:15:00,,,,,Short
16353,2018-06-20 21:15:00,,,,,Short
16354,2018-06-21 01:15:00,,,,,Short
16355,2018-06-21 05:15:00,,,,,Short
16356,2018-06-21 09:15:00,26645.3,26682.95,26474.35,26607.9,Short
16357,2018-06-21 13:15:00,26606.9,26664.85,26456.05,26513.7,Short
16358,2018-06-21 17:15:00,,,,,Short
16359,2018-06-21 21:15:00,,,,,Short
16360,2018-06-22 01:15:00,,,,,Short
16361,2018-06-22 05:15:00,,,,,Short
16362,2018-06-22 09:15:00,26518.4,26524.6,26364.85,26504.65,Short
16363,2018-06-22 13:15:00,26503.2,26805.7,26490.15,26761.05,Short
16364,2018-06-22 17:15:00,,,,,Short
16365,2018-06-22 21:15:00,,,,,Short
16366,2018-06-23 01:15:00,,,,,Short
16367,2018-06-23 05:15:00,,,,,Short
16368,2018-06-23 09:15:00,,,,,Short
